adj	nn	attribute	semclass	status	context
frech	Design	description	attribute	collocation	Im Design von Alltagsgegenständen sind Geschirr von Tapio Wirkkala , Timo Sarpaneva und Kaj Franck , Vasen von Alvar Aalto oder Stoffe und Kleidung im frechen Design von marimekko nicht wegzudenken und international anerkannt .
knapp	Deskription	description	communication	collocation	Zu einzelnen Gewässerabschnitten folgen nun knappe Beschreibungen ( falls kein deutschsprachiger Artikel dazu vorliegt , bitte in der englischsprachigen Ausgabe vergleichen ) :
süß	Dessert	taste	food	free	 Anmerkung  : Über die Frage , ob der Käsegang vor oder nach dem süßen Dessert gereicht wird , besteht keine Einigkeit .
reich	Deutsche	social	person	free	Sein Vermögen wurde auf knapp zwei Milliarden Euro geschätzt – Platz 56 unter den 500 reichsten Deutschen .
tot	Deutsche	state	person	free	Denn der tote Deutsche ist der Bruder eines berüchtigten KZ-Arztes .
hart	Devise	stability	communication	collocation	Sein Ziel sei es , durch Reise- und Handelsbeschränkungen die kommunistische Regierung Kubas vom Zugang zu harten Devisen abzuschneiden .
knapp	Devise	quantity	communication	free	Diese knappen Devisen fehlten und die staatlichen Organe waren der Meinung , die wenigen verbliebenen Fische auch ohne  Werbung  loszuwerden .
bitter	Diagnose	emotion	cognition	collocation	Der Ex-Austrianer musste schon nach 16 Minuten ausgewechselt werden , im Krankenhaus folgte dann die bittere Diagnose .
hölzern	Dialog	description	communication	collocation	Die Handlung hangelt sich durch kleine Episoden und hölzerne Dialoge ohne erkennbares Interesse an Personen und Konflikten .
knapp	Dialog	description	communication	collocation	Die Kurzkritik las sich folgendermaßen :  Atmosphärisch dicht erzählter Kriminalfall mit starken Bildern , knappen Dialogen und zerrissenen Charakteren .
offen	Dialog	social	communication	collocation	Die Gewerkschaft war von ihrer Legalität überzeugt und verlangte einen offenen Dialog mit den staatlichen Stellen über diese Forderungen .
tot	Dichter	state	person	free	Der Essay ist nicht nur ein Danklied an den toten Dichter . 
frech	Diebstahl	description	possession	free	Für viele Fans der nützlichen Software aus dem Hause Karelia ein frecher Diebstahl am helllichten Tage .
spät	Dienstag	time	time	free	Davon wurden 80 Prozent erfüllt , wie Twitter in dem aktuellen Transparenzbericht am späten Dienstag mitteilte .
spät	Dienstagabend	time	time	free	-Events werden meistens am späten Dienstagabend ( meistens zwischen 21 und 22 Uhr deutscher Zeit ) auf dem Login-Bildschirm angekündigt .
spät	Dienstagnachmittag	time	time	free	In Hamburg konnte ab dem späteren Dienstagnachmittag wegen Regens nur noch bei geschlossenem Dach auf den Centre Court gespielt werden .
starr	Dienstrecht	rigidity	communication	collocation	Strenge Formvorschriften ( beispielsweise Zwang zur Unterschrift statt PIN/TAN-Verfahren ) , strenger Datenschutz und ein starres Dienstrecht schränken die Möglichkeiten des E-Governments ein .
tot	Diktator	state	person	free	Nach der Ermordung Caesars geriet Roscius in die Auseinandersetzungen der Anhänger und Gegner des toten Diktators .
dumm	Ding	intelligence	person	free	Das dumme Ding hätte den Silvesterkracher nicht schlucken sollen ... Durch eine innere Explosion draufzugehen , das ist schon sehr sehr grausam ...
tot	Ding	state	Tops	collocation	Der wohlgesittete Ned ( Lee Pace ) ist in der Lage , tote Dinge wieder zum Leben zu erwecken .
offen	Diskussion	social	communication	collocation	Wie beim ersten Stammtisch abgesprochen soll bei diesem Stammtisch in Form von offenen Diskussionen " gearbeitet " werden .
zäh	Diskussion	description	communication	collocation	Die RK haben sich in zähen Diskussionen in der Community entwickelt und verfolgen mehrere Ziele :
hell	Display	brightness	artifact	free	In Testberichten ist man sich oft nicht ganz einig , meist aber steht die Kamera , das zu wenig helle Display und der Akku in der Kritik der Autoren .
sicher	Distanz	security	location	free	Rufus , der dem Kampf zusammen mit Kadaj aus sicherer Distanz zugeschaut hat , offenbart Kadaj , dass er Jenovas Zellen die ganze Zeit bei sich trug .
frischgebacken	Doktor	time	person	collocation	Aufgrund seiner ausgezeichneten Leistungen beim Staatsexamen bot man dem frischgebackenen Doktor eine Assistenzstelle in Berlin an .
starr	Doktrin	rigidity	cognition	collocation	General Wilson kritisierte dieses Festhalten an starren Doktrinen heftig .
stark	Dollar	stability	quantity	collocation	Angesichts des starken Dollars und höherer Zinsen in den USA warnte der IWF im Januar 2016 vor einer drohenden Zahlungsunfähigkeit der Dollar-Schuldnerländer .
spät	Donnerstag	time	time	free	Später wurde die Serie am späten Donnerstag gezeigt , die Anzahl der gezeigten Folgen variierten .
spät	Donnerstagabend	time	time	free	Er starb am späten Donnerstagabend , dem 5. Dezember 1935 , an einem Herzinfarkt , der ihn in seinem Haus in Vernon Manor ereilte .
rund	Doppelscheinwerfer	shape	artifact	free	Die flache Front war mit Klappscheinwerfern ausgestattet , die als nebeneinander liegende , runde Doppelscheinwerfer ausgeführt waren .
arm	Dorf	social	location	free	Vor 20 Jahren noch ein armes Dorf , hat sich Dafen mittlerweile zu einer modernen Einwohnergemeinschaft Shenzhens entwickelt .
rund	Dose	shape	artifact	free	Aus Athen stammt eine runde Dose auf deren Außenseiten Greife dargestellt sind , die einen Hirsch angreifen .
blank	Draht	surface	artifact	collocation	Telefonleitungen mit blanken Drähten ( Freileitung ) werden dagegen nicht mehr im öffentlichen Fernsprechnetz Deutschlands und vieler westeuropäischer Länder genutzt .
blind	Drang	description	motive	collocation	Zum anderen liegt dieser Vorstellungswelt ein Wille zu Grunde , den Schopenhauer als grund- und ziellosen blinden Drang versteht .
stürmisch	Drang	intensity	motive	collocation	Dieser stürmische Drang nach kapitalistischer Integration , der die EU und die neoliberale , föderalistische und militaristische Integration kennzeichnet , die die so genannte " Europäische Verfassung " in den rechtlichen und politischen Bereichen verstärken würde , wird trotz aller Propaganda , Verdunkelung und autoritärem Gebaren wieder mit der kategorischen Ablehnung vonseiten all derer fertig werden müssen , die für ein Europa souveräner , gleichberechtigter Staaten , ein Europa des sozialen Fortschritts , der Zusammenarbeit und des Friedens kämpfen .
stürmisch	Drängen	intensity	motive	collocation	Josephine selbst setzte dem stürmischen Drängen Beethovens Grenzen , da ihr bewusst war , dass es ihr nicht zuletzt aus juristischen Gründen unmöglich war , den nichtadligen Beethoven zu heiraten : Da nach damaligem Recht die Frau mit der Heirat ihrem Ehegatten in seinen Stand folgte , hätte sie ihren Adel aufgeben müssen und damit die Vormundschaft über ihre adligen Kinder verloren .
grob	Dreck	texture	substance	free	Ich kann nur die flache Logitec empfehlen , die hat so flache Tasten , dass der grobe Dreck beim senkrecht stellen schon rausperlt und alle Spaghetthi- Pflaumenmus- Bier- Kaffee- Keks- Chips- allesdoofdraufprügel-Attacken überlebt werden können .
knapp	Dreiviertelstunde	time	time	collocation	Nach einer knappen Dreiviertelstunde konnten die beiden Netzhälften in Österreich wieder synchronisiert und zusammengeschaltet werden .
knapp	Drittel	quantity	quantity	collocation	Die bleichen Schuppen sind länglich und an der Spitze um ein knappes Drittel eingeschnitten ( Abb .
rund	Drittel	precision	quantity	collocation	Nachdem die Parteiführung im April 1938 seine Mitgliedschaft für drei Jahre ausgesetzt und die Seine-Föderation , eine Hochburg der sozialistischen Linken , aufgelöst hatte , gründete Pivert im Juli 1938 die Parti Socialiste Ouvrier et Paysan ( PSOP ) , die mit etwa 10.000 Mitgliedern ein rundes Drittel der früheren Anhänger der Gauche révolutionnaire umfasste .
sicher	Drittland	security	location	free	Indien wäre z. b. das nächste sichere Drittland , deswegen werden diese auch völlig zu Recht zurückgeschickt .
sicher	Drittstaat	security	location	free	Dieser Mechanismus ist der Kern der Sache mit der Migration aus sicheren Drittstaaten nach DE und AT .
hart	Droge	type	substance	collocation	Ende der 1970er bzw. Anfang der 1980er Jahre war Carati mit harten Drogen in Kontakt gekommen .
mächtig	Drogenboss	power	person	free	Die US-amerikanische Drogenfahndung DEA ist schon seit Jahren hinter Ramon Cota , einem mächtigen Drogenboss aus " San Carlos " her .
offen	Drogenszene	social	location	collocation	Auch eine über die Stadt hinaus bekannte offene Drogenszene war bis Mitte der 1990er Jahre hier aktiv .
sanft	Drohung	intensity	communication	collocation	Tja , DAS ist die gar nicht so sanfte Drohung der Demokratie an die " G'scheiten " : wenn ihr die anderen zurückläßt , fällt es EUCH auf den Kopf .
leicht	Druck	intensity	event	collocation	Zum Auftragen des Ätzgrundes schlägt man denselben in feine Leinwand und dann noch in lockeren Taft und führt den Ballen mit leichtem Druck auf der erwärmten Fläche herum .
sanft	Druck	intensity	attribute	collocation	Auf sanften Druck dieser Behörde sind auch in Europa in den 80er-Jahren die Vorschriften verschärft worden .
stark	Druck	intensity	attribute	collocation	Dabei stand er unter starkem Druck von Pastoren und Kirchenbasis im Land , die ein Eingeständnis politischer Schuld ohne gleichzeitigen Verweis auf alliierte Kriegsverbrechen ablehnten .
herrlich	Duft	evaluation	attribute	free	Diese farbenfrohe Rose ist wohl eher die Strauchrose " Variegata di Bologna " eine Rosa Borbonica mit herrlichem Duft .
zart	Duft	intensity	attribute	collocation	Die Rosensorte ' Molineux ' zeichnet sich durch einen zarten Duft nach Alten Rosen und Moschus aus .
wild	Durcheinander	intensity	attribute	collocation	Im folgenden aufgeregten Chor antworten die Jünger in einem wilden Durcheinander elf Mal mit der Frage : " Herr , bin ich's , bin ich's ? "
hart	Durchgreifen	description	event	collocation	Das harte Durchgreifen brachte ferner Bürgerrechtler auf den Plan , die in der Nulltoleranzstrategie einen Schritt zum Polizeistaat sahen .
knapp	Dutzend	quantity	quantity	collocation	Dubois unternimmt einen letzten Versuch das Unvermeidliche zu verhindern , wird aber Jagdobjekt eines knappen Dutzends Bauern und sieht sich gezwungen zu fliehen .
rund	Dutzend	precision	quantity	collocation	Der Autobau kam zunächst nicht voran und bis 1898 entstanden nur ein rundes Dutzend Fahrzeuge .
wild	Eber	naturalness	animal	free	Als Opfertiere wurden Kühe , Schweine , Ziegen , Schafe und wilde Eber genutzt .
rund	Ecke	shape	shape	free	Sollten wir eher über schicke eckige Designs nachdenken als an runden Ecken zu verkrampfen ?
windig	Ecke	climate	location	free	Der langgezogene und flache Höhenzug des Kindel erstreckt sich am Südrand des Hainich in Ost-Westrichtung auf einer Länge von etwa sechs Kilometer und gilt als " windige Ecke " .
blank	Egoismus	certainty	attribute	collocation	Sobald sich eine Wolke vor die Schoenwetter-Wachstumsgesellschaft schiebt , regiert der blanke Egoismus - und nicht nur bei den Mittellosen , sondern bis in wohlbestallte buergerliche Kreise hinein .
stürmisch	Ehe	emotion	relation	collocation	Schon bald wurde die von Beginn an stürmische Ehe durch Jones' Alkoholprobleme belastet .
wild	Ehe	validity	relation	collocation	Als die Markgräfin erfährt , dass man in Neubronn in wilder Ehe zusammenlebt , erregt das ihr Interesse .
frischgebacken	Ehefrau	time	person	collocation	Der Song wurde von Roger Waters verfasst und soll eine Liebeserklärung an seine frischgebackene Ehefrau , Carolyne Christie , gewesen sein .
spät	Ehefrau	time	person	collocation	Am 8. Dezember 1845 verlobte er sich mit Emilie Rouanet-Kummer ( 1824-1902 ) , seiner späteren Ehefrau .
frischgebacken	Ehemann	time	person	collocation	Der auf der Hochzeitsreise befindliche frischgebackene Ehemann hat im Bahnhofsrestaurant nur einen Kognak getrunken und seine Angetraute im Abteil des nach dem sonnigen Süden fahrenden Zuges sitzenlassen .
spät	Ehemann	time	person	collocation	Ihre späteren Ehemänner waren zudem Börsenmakler , die ihr halfen , ein luxuriöses Leben zu führen .
tot	Ehemann	state	person	free	Als Waggoner nach Hause kommt und ihren toten Ehemann vorfindet , verabschiedet sie sich von ihm und wird von Moseley befragt .
alt	Ehepaar	age	group	free	Daneben sind alte Ehepaare natürlich oft schrullig , sich lange sehr nahe sein hinterlässt Spuren .
frischgebacken	Ehepaar	time	group	collocation	Schließlich sitzen die drei frischgebackenen Ehepaare in einem Schnellrestaurant , um Tschickis Hochzeit bescheiden bei Bier und Hamburgern zu feiern .
blind	Ehrgeiz	description	attribute	collocation	Ihr Motiv : blinder Ehrgeiz .
rund	Ei	shape	animal	free	Die Weibchen legen 4- bis 6-mal im Jahr zwei hartschalige , fast runde Eier ab , die einen Durchmesser von 9 bis 10 mm haben .
mächtig	Eichen	dimension	plant	collocation	In dem verbleibenden Rest wachsen die mächtigen Eichen und Buchen ohne Zutun des Menschen und es ist zu beobachten , dass sich der Eichen-Buchenbestand zugunsten des letzteren verändert .
blind	Eifer	description	attribute	collocation	Die Niederlage gegen die Römer ist nach Rotteck vor allem dem " blinden Eifer " und den " toten Formen " der Juden zuzuschreiben .
blind	Eifersucht	description	feeling	collocation	Erstmals wird ihm nun auch bewusst , dass er die selbstlose Vera aus blinder Eifersucht verlassen hatte .
karg	Eiland	climate	location	collocation	Das kleine , karge Eiland galt lange als die Insel , auf der im 5. / 6. Jahrhundert der bretonische Heilige Budoc gelebt haben soll .
hölzern	Einbau	material	artifact	free	An der Westseite des straßenseitigen Raumteils liegt der hölzerne Windfang , an den sich die ebenfalls als hölzerner Einbau gestaltete Theke anschließt .
tief	Einblick	intensity	cognition	collocation	Ebenso ist im Gegensatz zu den Keilschriften Mesopotamiens und den Hieroglyphen Ägyptens keine Entzifferung der Schrift der Indus-Kultur gelungen , was einen ähnlich tiefen Einblick in diese Kultur ausschließt .
scharf	Einbruch	intensity	quantity	collocation	Die wirtschaftliche Erholung setzte 1933 ein und mit Ausnahme eines scharfen Einbruchs im Jahr 1937 blieb das Wirtschaftswachstum anhaltend hoch .
stark	Einbruch	intensity	quantity	collocation	Musste die Wirtschaft in den Jahren nach der Unabhängigkeit von der Sowjetunion einen starken Einbruch hinnehmen , so gibt es seit der Jahrtausendwende einen klaren Aufwärtstrend zu verzeichnen .
tief	Einbruch	intensity	quantity	collocation	Im Zuge der Newel-Offensive gelang ihnen in der ersten Oktoberhälfte ein tiefer Einbruch zwischen der 16. Armee und der 3. Panzerarmee im Raum Newel .
leicht	Einbuße	intensity	possession	collocation	Bei der Bundestagswahl 2013 gelang es Gysi - wiederum Spitzenkandidat der Berliner Landesliste - trotz leichter Einbußen von 2,6 Prozent sein Direktmandat mit 42,2 Prozent erneut zu verteidigen .
stark	Einbuße	intensity	possession	collocation	In der Folge kam es auf der Schiene zu starken Einbußen bei der Personenbeförderung .
frech	Eindringling	charakter	person	free	Der freche Eindringling legt einen schon am nächsten Tag fälligen Wechsel auf 10 000 Gulden vor .
sicher	Eindruck	certainty	cognition	collocation	Anders als in den Vorjahren machte zumindest die Defensive einen sicheren Eindruck , im offensiven Bereich wurden hingegen nur wenige Glanzlichter gesetzt .
stark	Eindruck	intensity	cognition	collocation	Leigh studierte in Cambridge und von 1927 bis 1929 in Berlin an der Hochschule für Musik bei Paul Hindemith , dessen Persönlichkeit und Werk starken Eindruck auf ihn machten .
tief	Eindruck	intensity	cognition	collocation	Der tiefe Eindruck , den Geibels Tod 1884 auf ihn hinterließ , verdichtete sich musikalisch zu der " Dem Manen Emanuel Geibels " gewidmeten Klavierfantasie f-Moll op .
dumm	Einfall	intelligence	cognition	free	Fürwitz bringt den Helden durch dumme Einfälle in die Bredouille ; Unfall geht absichtsvoll vor , weil er die Ehre des Tapferen für sich haben will , und Neidhart bringt den Ritter aus Missgunst in allerlei Gefahr .
schlau	Einfall	intelligence	cognition	free	Ohne Jimmy wäre Julio in kniffligen Situationen oft verloren gewesen , und ohne Julios schlaue Einfälle hätte Jimmy nicht zeigen können , was in ihm steckt .
mächtig	Einfluss	power	attribute	free	Er wusste , dass er 1936 keine Chance hatte , gegen den mächtigen Einfluss von Crump erfolgreich zu kandidieren .
stark	Einfluss	intensity	event	collocation	Das gilt gleichermaßen für Solarballons , wegen des starken Einflusses auf den Auftrieb müssen Solarballons allerdings noch viel mehr auf windarmes Wetter achten .
knapp	Einführung	description	communication	collocation	Die Einführung soll " als knappe Einführung in die Diplomatik dem Interessierten die Wege zum Gegenstandsbereich , zu den Fragestellungen , Methoden und Ergebnissen moderner Diplomatik weisen " .
hölzern	Eingangstor	material	artifact	free	Die Wanderung beginnt im historischen Städtchen Herrstein in der Hauptstraße gegenüber dem Parkplatz Bachweg am hölzernen Eingangstor des Mittelalterpfades .
hölzern	Eingangstür	material	artifact	free	Das Kirchenschiff hat auf der Nord- und Südseite jeweils drei einfache Bogenfenster und an der Nordseite eine verhältnismäßig niedrige , schön gestaltete , hölzerne Eingangstür .
tief	Eingriff	intensity	event	collocation	Es folgten tiefe Eingriffe in dessen bis dahin noch weitgehend aus dem 18. Jahrhundert erhaltene Struktur .
teuer	Einkauf	cost	possession	free	Real Madrid schaffte es , diese Dominanz durch teure Einkäufe für zwei Jahre zu unterbinden .
karg	Einkommen	quantity	possession	free	Die Bauern - so die Idealvorstellung - würden ihre freie Zeit produktiv einsetzen , Abwechslung haben , und könnten so ihr karges Einkommen aufbessern .
sicher	Einkommen	certainty	possession	collocation	Nach diesem Erfolg konnte er in zahlreichen Zeitschriften und Zeitungen veröffentlichen und endlich als Journalist und Autor ein sicheres Einkommen erzielen .
knapp	Einleitung	description	communication	collocation	Der Verbreitung der zeitgenössischen Ergebnisse der Exegese sollte die von ihm herausgegebene Textbibel ( 1890-94 , 1908-10 ) dienen , die mit knappen Einleitungen und Erläuterungen versehen war .
grob	Einmischung	intensity	event	collocation	näher als andere stehen , und bitte darum , mich vor grober Einmischung in mein Privatleben zu schützen , vor unwürdigen Beschimpfungen und Drohungen .
sicher	Einnahmequelle	certainty	possession	collocation	Eine sichere Einnahmequelle war der Druck von Reden zu besonderen Gelegenheiten , der von ihren Verfassern finanziert wurde , welche dann zur Vergrößerung des eigenen Ruhms die Verteilung übernahmen .
hart	Einsatz	description	event	collocation	Auch dort fiel Rath mehr durch harten Einsatz als durch Tore auf , und so trennten sich die Wege Raths und Mannheims nach nur einer Saison .
hart	Einschnitt	intensity	event	collocation	Nach dem zum Fahrplanwechsel 2013 / 2014 auf vielen Linien harte Einschnitte erfolgten , da der RMV Sparmaßnahmen durchzusetzen hatte , folgen weitere Einschränkungen zum Fahrplanwechsel 2014 / 2015.
scharf	Einschnitt	shape	shape	collocation	Zwischen dem Petersdorfer und dem Scharmützelsee bildet die Rinne einen scharfen Einschnitt zwischen den Rauener Bergen im Westen und den Soldatenbergen / Dubrower Bergen im Osten .
tief	Einschnitt	dimension	shape	free	Der oligozäne Roanne-Graben und die gleich alte Plaine de Forez bilden im Ostteil ähnlich dem weiter westlich gelegenen Limagne-Graben einen weiteren tiefen Einschnitt in die Grundgebirgsstrukturen .
bitter	Einsicht	emotion	cognition	collocation	Damit ist ihr Quell persönlich und liegt in der bitteren Einsicht , man sei selbst nicht anders .
spät	Einsicht	time	cognition	collocation	Nachdem er dreimal die Welt umsegelte hatte , kam ihm die späte Einsicht , dass er das Meer regelrecht hasse .
tief	Einsicht	intensity	cognition	collocation	Werner Jaeger meinte , der " Phaidros " zeige Platons tiefe Einsichten in das Wesen der literarischen Komposition .
starr	Einstellungen	rigidity	artifact	collocation	Mit der Gründung eines Museums für Gegenwartskunst wollte sich die erst 1930 gegründete Industriestadt ein modernes Gesicht geben und vor allem nach zwölf Jahren nationalsozialistischer Herrschaft die " starre Einstellung " aufbrechen , wie es J.B.H.
sanft	Einstieg	description	time	collocation	 So kam ich  bietet einen sanften Einstieg in das Jancsó eigene Universum .
grob	Einteilung	precision	cognition	collocation	Bei der groben Einteilung der Staphylokokken wird in der medizinischen Mikrobiologie häufig zwischen koagulasepositiven und koagulasenegativen Arten unterschieden , wobei  S. saprophyticus  zu den koagulasenegativen Staphylokokken gehört .
deftig	Eintopf	taste	food	free	Diese wächst im Bereich der Salzwiesen direkt in Ufernähe und wird wie Grünkohl als deftiger Eintopf zubereitet .
frei	Eintritt	cost	possession	collocation	Fritz Kauffmann stellte die Sammlung der Stadt Stuttgart zur Verfügung , damit sie der Öffentlichkeit bei freiem Eintritt zugänglich sei .
arm	Einwanderer	social	person	free	Dabei handelt es sich um arme Einwanderer , die den Großgrundbesitzern wegen wiederholter Fälle von Viehdiebstahl ein Dorn im Auge sind und deshalb zur Ermordung freigegeben sind .
blank	Eis	surface	substance	free	Aus diesem Grund mag es günstiger sein , nur Flächen zu erfassen , innerhalb derer auch blankes Eis sichtbar ist .
dick	Eis	dimension	substance	free	Durch die spezielle Rumpfform verfügt es über die Möglichkeit , bis zu 1,5 Meter dickes Eis zu brechen .
dick	Eisschicht	dimension	substance	free	Das Angeln im Eis ist nicht einfach , denn es müssen zuerst Löcher in die dicke Eisschicht gehackt werden .
tot	Elefant	state	animal	free	Beard war mehrmals verheiratet und unternahm zahlreiche abenteuerliche Reisen durch Afrika , unter anderem fotografierte er in den Jahren 1971/1972 systematisch die sterbenden und toten Elefanten .
wild	Elefant	naturalness	animal	free	Manchmal gelangten beim Fang wilder Elefanten auch die äußerst seltenen weißen Elefanten in den Kraal .
blank	Elend	intensity	feeling	collocation	[ ... ] Es ist das blanke Elend .
arm	Eltern	social	person	collocation	Der Überlieferung nach stammte Joachim Ulrich von Rosenfeld von " armen Eltern " , die ihn zur Schule anhielten .
frischgebacken	Eltern	time	person	collocation	Was konkret die Zufriedenheit der meisten frischgebackenen Eltern sinken lässt , beantwortet die Studie nicht . "
reich	Eltern	social	person	free	Er kann die wirklichen Täter , gelangweilte Söhne reicher Eltern , stellen und tötet zwei von ihnen ; ein dritter wird von der endlich überzeugten Polizei erschossen .
tot	Eltern	state	person	free	Ihre Retter enthaupten die toten Eltern im Beisein des schockierten Mädchens , lassen die leblosen Körper zurück und wandern mit den abgetrennten Trophäen in ihr abgelegenes Dschungeldorf .
arm	Elternhaus	social	event	free	Die allgemeine Lernmittelfreiheit ließ sich 1910 zwar nicht durchsetzen , dafür aber die Pflicht der Kommunen , für Kinder aus armen Elternhäusern die Schulbücher zu beschaffen .
reich	Elternhaus	social	event	free	Die Schülerin Beate Schorlemmer stammt aus einem reichen Elternhaus und ist gewohnt , zu bekommen , was sie will .
stürmisch	Empfang	manner	event	collocation	Als Michail Andrejewitsch - " der letzte Stalinist " - aus Moskau kommend die Stadt aufsucht , müssen nach einem stürmischen Empfang durch die Werktätigen Forellen auf den Mittagstisch .
zart	Empfindung	description	feeling	collocation	Dennoch gelang es Ányos , Wurzbach zufolge , in seinen Gedichten durch gute Wortwahl zarte Empfindung und liebliche Bilder anzudeuten .
hell	Empörung	intensity	feeling	collocation	Woraufhin anschließend wieder helle Empörung bei denen ausbricht , die solche Bilder für schlimemr als Mord halten .
bitter	Ende	intensity	time	collocation	Einige Stämme kämpften bis zum bitteren Ende , andere waren eher beiläufig beteiligt , manche Stämme teilten sich , während andere die Seiten wechselten .
offen	Ende	completeness	time	collocation	Schließlich kommt es im Bahnhof von Manhattan zum Zusammentreffen der Unglaublichen 4 , mit offenem Ende .
teuer	Energie	cost	natPhenomenon	free	Sie denken tatsächlich , dass sich im internationalen Wettbewerb stehende Industriebetriebe es sich leisten können in Ö teure Energie massiv zu verschwenden ?
zäh	Energie	constitution	attribute	collocation	Er sorgte mit zäher Energie für Aufschwung in Schule , Internat , Unterrichts-Methoden und Bau-Angelegenheiten .
sicher	Energieversorgung	certainty	event	collocation	Das günstige Umfeld mit der sicheren Energieversorgung , Rekrutierungsmöglichkeiten für Arbeitskräfte in der ganzen Region und der Anbindung an das öffentliche Verkehrsnetz trugen zum Erfolg dieser Entwicklung bei .
stark	Engagement	intensity	feeling	collocation	Jedoch war es vor allem sein starkes Engagement in der Nationalbewegung , die seine Ernennung verzögerten .
süß	Engel	evaluation	person	collocation	Dieser hatte erst kürzlich Brodersen vorgeschwärmt , welch süßen Engel er kennengelernt hätte .
spät	Entdeckung	time	cognition	collocation	Die späte Entdeckung ist vornehmlich auf die Unerschlossenheit weitreichender Inselteile ( sogar heute noch sind Siedlungsgebiete der Familien der Korowai vollständig unkontaktiert ) zurückzuführen .
tot	Ente	state	animal	free	Im Jahr 2007 wurde im westlichen Becken bei drei toten Enten das auch für Menschen gefährliche Influenza-A-Virus H5N1 festgestellt .
frei	Entfaltung	description	event	collocation	Der Film problematisiert die Behinderung einer freien Entfaltung der Kreativität , er thematisiert den Generationskonflikt in der DDR und verweist auf die fehlende Identifikation mit dem eigenen Land .
sicher	Entfernung	security	location	free	Derweil hat Blackheart das Geschehen aus sicherer Entfernung beobachtet und weiß nun , dass Roxanne Johnnys Schwachpunkt ist .
frei	Entscheidung	social	cognition	collocation	Aha , wird einen Menschen in Ö der Beruf oder der Arbeitsplatz zwangsweise zugeteilt oder ist beides eine freie Entscheidung des einzelnen Menschen ?
hart	Entscheidung	description	cognition	collocation	Allerdings nur für sechs Monate , da man ihn aufgrund seiner harten Entscheidungen und seinen unpopulären Äußerungen schnell wieder ablöste .
historisch	Entscheidung	importance	cognition	collocation	Lafforgue dokumentierte das Urteil als historische Entscheidung , da erstmals ein Schuldspruch gegen einen Hersteller von Pestiziden wegen Vergiftung erfolgt ist .
knapp	Entscheidung	certainty	event	collocation	Bei der Europameisterschaft 2002 in Frantschach-Sankt Gertraud musste sie sich jedoch in einer knappen Entscheidung mit dem dritten Platz hinter Sandra Lanthaler und Jekaterina Lawrentjewa begnügen .
wild	Entschlossenheit	emotion	cognition	collocation	Massu , Trinquier und die Fallschirmjäger der 10. Division machten sich mit wilder Entschlossenheit an ihre Aufgabe , die FLN auszumerzen .
blank	Entsetzen	intensity	feeling	collocation	Doch dann packt Alan wieder das blanke Entsetzen - auf einer Parkbank sitzt genau jene Frau , die das ganze Unheil in seine Familie brachte .
hell	Entsetzen	intensity	feeling	collocation	Da packte den jungen Mann helles Entsetzen .
leicht	Entspannung	intensity	event	collocation	Auch auf dem deutschen Arbeitsmarkt konnte in den Monaten der Weltmeisterschaft eine leichte Entspannung registriert werden , laut Bundesagentur für Arbeit wurden etwa 50.000 zusätzliche Stellen geschaffen .
grob	Entstellung	intensity	event	collocation	Die Tibetbeschreibungen Blavatskys , die sich als " tibetanische Buddhistin " ausgab , sind nur sehr oberflächlich und äußerst rar , und bei ihren als tibetisch ausgegebenen Belehrungen handelt es sich meistens um grobe Entstellungen , die mit dem tibetischen Buddhismus nicht das Geringste zu tun haben .
bitter	Enttäuschung	intensity	feeling	collocation	Nachdem eine der Hauptforderungen der Mau Mau die Rückgabe des enteigneten Landes gewesen war , stellte die Landpolitik Kenyattas für viele Kenianer eine bittere Enttäuschung dar .
tief	Enttäuschung	intensity	feeling	collocation	Er fühlt tiefe Enttäuschung darüber , dass Länder , deren Unterstützung von der libanesischen Opposition gesucht wurde , in seinen Augen die Erwartungen nicht erfüllten .
spät	Entwicklung	time	event	collocation	Von der früheren Siedlung sind nur winzige Spuren erhalten , so dass die Beschreibung der Stadt sich im Wesentlichen auf die hellenistische Blütezeit des Ortes sowie spätere Entwicklungen bezieht .
stürmisch	Entwicklung	speed	event	collocation	Es begann eine stürmische Entwicklung der Computertechnik , die die Möglichkeiten der Automatisierungstechnik extrem beeinflusste .
arm	Entwicklungsland	social	location	free	Die 2005 zu erwartende Mittelfreisetzung im Rahmen der Schuldenerlassinitiative zugunsten der am höchsten verschuldeten armen Entwicklungsländer ( HIPC ) wird diese Situation verbessern .
hell	Entzücken	intensity	feeling	collocation	löste Win Min Thans Darstellung bei amerikanischen und englischsprachigen Kritikern helles Entzücken aus .
spät	Epoche	time	time	collocation	Auch Theateraufführungen sind dokumentiert , die sich in den späteren Epochen zu den heutigen chinesischen Opern in ihren jeweiligen regionalen Prägungen weiterentwickelten .
reich	Erbe	social	person	collocation	Danach würde der Studienzugang für Privilegierte wie Zahnarztsöhne , reiche Erben oder Kinder aus Intelligenzlerfamilien beschränkt , hingegen hätten Kinder aus Arbeiterhaushalten nach der regulären Schulzeit eine Studienpflicht .
reich	Erbin	social	person	free	Die andere Protagonistin ist  , eine reiche Erbin , die in dem friedlichen europäisch wirkenden Land  Nafrece  lebt .
leicht	Erdbeben	intensity	natPhenomenon	collocation	Er macht gerade Urlaub mit seiner Tochter Kelly als ein leichtes Erdbeben die Stadt erschüttert .
