attribute_original	adjective	noun	GerCoAT	status
CREDIBILITY	incredible	speed	intensity	collocation
DEGREE	low	price	intensity	collocation
DEGREE	low	reservoir	intensity	collocation
SIZE	massive	increase	intensity	collocation
POWER	mighty	blow	intensity	collocation
DEGREE	mild	criticism	intensity	collocation
DEGREE	mild	fever	intensity	collocation
DEGREE	mild	pain	intensity	collocation
DEGREE	mild	rebuke	intensity	collocation
MODERATION	modest	salary	quantity	collocation
MODERATION	outrageous	amount	intensity	collocation
DEGREE	overwhelming	joy	intensity	collocation
POWER	powerful	kick	intensity	collocation
MODERATION	reasonable	price	intensity	collocation
DEPTH	shallow	breathing	intensity	collocation
DEPTH	shallow	trance	intensity	collocation
PLEASANTNESS	sharp	criticism	intensity	collocation
SIZE	slim	chance	intensity	collocation
COMPLETENESS	sound	thrashing	intensity	collocation
CONSPICUOUSNESS	striking	resemblance	intensity	collocation
ULTIMACY	supreme	sacrifice	intensity	collocation
MODERATION	excessive	charge	intensity	free
MODERATION	exorbitant	rent	intensity	free
MODERATION	extreme	danger	intensity	free
MODERATION	immoderate	laughter	intensity	free
MODERATION	immoderate	spending	intensity	free
DEGREE	intense	anxiety	intensity	free
DEGREE	intense	desire	intensity	free
DEGREE	intense	emotion	intensity	free
DEGREE	intense	fire	intensity	free
DEGREE	intense	heat	intensity	free
DEGREE	intense	pain	intensity	free
DEGREE	moderate	penalty	intensity	free
MODERATION	moderate	demand	intensity	free
MODERATION	moderate	eater	intensity	free
MODERATION	moderate	enlargement	intensity	free
MODERATION	moderate	estimate	intensity	free
MODERATION	moderate	fine	intensity	free
MODERATION	moderate	income	intensity	free
MODERATION	moderate	price	intensity	free
MODERATION	moderate	size	intensity	free
MODERATION	moderate	success	intensity	free
SIZE	stupendous	demand	intensity	free
DEGREE	terrific	battle	intensity	collocation
DEGREE	terrific	noise	intensity	collocation
QUANTITY	torrential	rain	intensity	collocation
LIGHT	bright	room	brightness	free
LUMINOSITY	bright	sun	brightness	free
CLEARNESS	clear	air	brightness	free
CLEARNESS	clear	glass	brightness	free
CLEARNESS	clear	water	brightness	free
COLOR	dark	glass	brightness	free
LIGHT	dark	corner	brightness	free
LIGHT	dark	day	brightness	free
LIGHT	dark	shadow	brightness	free
LIGHT	phosphorescent	glow	brightness	free
COMPLETENESS	total	disaster	intensity	collocation
DISTANCE	distant	sound	location	free
DISTANCE	distant	traffic	location	free
DISTANCE	distant	village	location	free
POSITION	exterior	paint	location	free
POSITION	exterior	scene	location	free
POSITION	external	pressure	location	free
DISTANCE	far	country	location	free
DISTANCE	far	journey	location	free
DISTANCE	far	side	location	free
POSITION	far	side	location	free
POSITION	interior	bathroom	location	free
POSITION	interior	decoration	location	free
POSITION	interior	scene	location	free
POSITION	internal	mechanism	location	free
POSITION	internal	organ	location	free
POSITION	left	hand	location	free
POSITION	left	side	location	free
DISTANCE	near	neighbor	location	free
DISTANCE	near	thing	location	free
POSITION	right	bank	location	free
POSITION	right	hand	location	free
POSITION	right	side	location	free
INTEGRITY	total	failure	intensity	collocation
ULTIMACY	ultimate	achievement	intensity	collocation
ACTIVENESS	inactive	life	manner	free
ADEQUACY	adequate	training	quality	free
ADEQUACY	competent	performance	quality	free
ADEQUACY	deficient	education	quality	free
ADEQUACY	inadequate	staff	quality	free
ADEQUACY	inadequate	training	quality	free
ULTIMACY	ultimate	destiny	intensity	collocation
ULTIMACY	ultimate	goal	intensity	collocation
AFFECTEDNESS	contrived	coyness	manner	free
AFFECTEDNESS	stilted	pronunciation	manner	free
AFFECTEDNESS	strained	smile	manner	free
ULTIMACY	ultimate	insult	intensity	collocation
ULTIMACY	ultimate	question	intensity	collocation
MODERATION	unreasonable	demand	intensity	collocation
USUALNESS	unusual	beauty	intensity	collocation
DISTANCE	close	formation	location	collocation
ACTIVENESS	active	antagonism	manner	collocation
ANIMATION	feisty	challenger	manner	free
ANIMATION	spiritless	reply	manner	free
ACTIVENESS	active	interest	manner	collocation
ATTENTIVENESS	heedless	self-interest	manner	free
AFFECTEDNESS	stilted	letter	manner	collocation
ATTRACTIVENESS	enchanting	music	manner	free
ATTRACTIVENESS	irresistible	beauty	manner	free
ATTRACTIVENESS	mesmeric	charm	manner	free
AWARENESS	unsuspecting	victim	manner	free
AFFECTEDNESS	unaffected	grace	manner	collocation
AMBITION	ambitious	schedule	manner	collocation
ANIMATION	dashing	hero	manner	collocation
ANIMATION	dead	pallor	manner	collocation
ANIMATION	snappy	conversation	manner	collocation
ANIMATION	sprightly	dance	manner	collocation
CAREFULNESS	haphazard	system	manner	free
CIVILITY	uncivil	tongue	manner	free
CLARITY	puzzling	statement	manner	free
ANIMATION	vibrant	group	manner	collocation
ASSURANCE	uncertain	smile	manner	collocation
COMFORT	cozy	nook	manner	free
COMFORT	uncomfortable	chair	manner	free
COMPLETENESS	thorough	search	manner	free
COMPLETENESS	thoroughgoing	research	manner	free
ATTRACTIVENESS	magnetic	personality	manner	collocation
BOLDNESS	bold	adventure	manner	collocation
COMPLEXITY	uncomplicated	car	manner	free
CONSPICUOUSNESS	conspicuous	necktie	manner	free
CONSPICUOUSNESS	eye-catching	poster	manner	free
CONSPICUOUSNESS	featured	item	manner	free
CONSPICUOUSNESS	inconspicuous	hole	manner	free
CONSPICUOUSNESS	outstanding	fact	manner	free
CONSPICUOUSNESS	spectacular	rise	manner	free
CONSPICUOUSNESS	striking	thing	manner	free
BOLDNESS	heroic	attack	manner	collocation
CAREFULNESS	careful	research	manner	collocation
CREATIVITY	creative	imagination	manner	free
CAREFULNESS	careless	mistake	manner	collocation
CAREFULNESS	careless	remark	manner	collocation
CAREFULNESS	sloppy	workmanship	manner	collocation
CLEANNESS	dirty	job	manner	collocation
CLEANNESS	dirty	work	manner	collocation
COMPLEXITY	simple	design	manner	collocation
COMPLEXITY	simple	mechanism	manner	collocation
CORRUPTNESS	corrupt	government	manner	collocation
DIFFICULTY	troublesome	situation	manner	free
CORRUPTNESS	putrid	atmosphere	manner	collocation
DIFFICULTY	ambitious	schedule	manner	collocation
DIFFICULTY	delicate	negotiation	manner	collocation
DULLNESS	dull	day	manner	free
DULLNESS	dull	mood	manner	free
DULLNESS	humdrum	existence	manner	free
DIFFICULTY	difficult	time	manner	collocation
DIFFICULTY	rough	time	manner	collocation
DIFFICULTY	rugged	condition	manner	collocation
DIFFICULTY	tough	job	manner	collocation
DIFFICULTY	tough	life	manner	collocation
DIFFICULTY	tricky	recipe	manner	collocation
DULLNESS	arid	performance	manner	collocation
DULLNESS	drab	life	manner	collocation
DULLNESS	lackluster	life	manner	collocation
EASE	cushy	job	manner	collocation
EASE	soft	job	manner	collocation
FAIRNESS	fair	deal	manner	free
FAIRNESS	fair	fight	manner	free
FAIRNESS	fair	footing	manner	free
FAIRNESS	fair	means	manner	free
FAIRNESS	fair	referee	manner	free
FAIRNESS	unfair	advantage	manner	free
FAIRNESS	unfair	method	manner	free
FAIRNESS	unfair	trial	manner	free
EVENNESS	uneven	color	manner	collocation
EXCITEMENT	unglamorous	job	manner	collocation
FAIRNESS	dirty	fighter	manner	collocation
FAIRNESS	raw	deal	manner	collocation
FELICITY	clumsy	apology	manner	collocation
FRIENDLINESS	cozy	room	manner	free
FRIENDLINESS	friendly	advice	manner	collocation
FRIENDLINESS	friendly	neighborhood	manner	collocation
GLUTTONY	gluttonous	debauch	manner	free
GLUTTONY	voracious	shark	manner	free
HONESTY	square	deal	manner	free
FRIENDLINESS	unfriendly	action	manner	collocation
FRIENDLINESS	unfriendly	coldness	manner	collocation
FULLNESS	empty	hour	manner	collocation
FULLNESS	full	life	manner	collocation
HONORABLENESS	honorable	life	manner	collocation
INTRUSIVENESS	intrusive	presence	manner	free
INWARDNESS	innermost	feeling	manner	free
HONORABLENESS	honorable	service	manner	collocation
KINDNESS	unkind	cut	manner	free
KINDNESS	unkind	remark	manner	free
HONORABLENESS	shabby	treatment	manner	collocation
HUMANENESS	beastly	desire	manner	collocation
LIVELINESS	lively	discussion	manner	free
LIVELINESS	lively	party	manner	free
INTRUSIVENESS	officious	nuisance	manner	collocation
KINDNESS	sympathetic	word	manner	collocation
LIVELINESS	bouncy	tune	manner	collocation
LIVELINESS	breezy	nature	manner	collocation
LOGICALITY	logical	mind	manner	collocation
MIND	rational	analysis	manner	free
MALIGNITY	malign	look	manner	collocation
MODERATION	exaggerated	opinion	manner	free
MODERATION	over-the-top	experience	manner	free
MALIGNITY	malign	spirit	manner	collocation
MIND	mindless	task	manner	collocation
MUSICALITY	unmusical	cry	manner	free
MIND	sophisticated	drama	manner	collocation
MODERATION	extreme	example	manner	collocation
MORALITY	impure	thought	manner	collocation
NOBILITY	exalted	ideal	manner	free
MUSICALITY	liquid	song	manner	collocation
NOBILITY	ignoble	part	manner	collocation
NOBILITY	noble	deed	manner	collocation
NOBILITY	noble	spirit	manner	collocation
ORIGINALITY	original	approach	manner	collocation
ORIGINALITY	original	mind	manner	collocation
ORIGINALITY	original	music	manner	collocation
ORIGINALITY	innovative	work	manner	free
ORIGINALITY	trite	remark	manner	free
ORIGINALITY	unoriginal	emendation	manner	free
ORTHODOXY	unorthodox	lifestyle	manner	free
ORIGINALITY	ready-made	phrase	manner	collocation
PASSIVITY	passive	order	manner	free
PERFECTION	idyllic	spot	manner	free
PLAYFULNESS	impish	laughter	manner	free
ORIGINALITY	threadbare	joke	manner	collocation
OUTWARDNESS	external	concern	manner	collocation
PLEASANTNESS	harsh	cry	manner	collocation
PLEASANTNESS	rough	life	manner	collocation
PLEASANTNESS	tart	remark	manner	collocation
PLEASANTNESS	idyllic	life	manner	free
PLEASANTNESS	painful	process	manner	free
PLEASANTNESS	ungrateful	task	manner	collocation
PRACTICALITY	wild-eyed	dream	manner	collocation
PRIDE	proud	name	manner	collocation
PROLIXITY	brief	statement	manner	collocation
PROLIXITY	prolix	lecturer	manner	collocation
PROLIXITY	concise	explanation	manner	free
PROLIXITY	prolix	manuscript	manner	free
PROLIXITY	succinct	comparison	manner	free
PROLIXITY	wordy	dispute	manner	free
PROLIXITY	wordy	editorial	manner	free
PROLIXITY	telegraphic	speech	manner	collocation
PURITY	pure	tone	manner	collocation
QUALITY	bad	cut	manner	collocation
QUALITY	bad	luck	manner	collocation
QUALITY	bad	shape	manner	collocation
REASONABLENESS	mindless	violence	manner	collocation
REASONABLENESS	senseless	act	manner	collocation
REASONABLENESS	sound	advice	manner	free
REASONABLENESS	sound	approach	manner	free
REASONABLENESS	sound	explanation	manner	free
REASSURANCE	reassuring	remark	manner	free
REASONABLENESS	sensible	choice	manner	collocation
REPUTE	sleazy	character	manner	collocation
REPUTE	squalid	atmosphere	manner	free
REPUTE	sleazy	storefront	manner	collocation
RESPONSIBILITY	responsible	journalism	manner	collocation
RESPONSIBILITY	responsible	position	manner	collocation
SARCASM	grim	joke	manner	collocation
SENSATIONALISM	lurid	detail	manner	collocation
SERIOUSNESS	serious	attempt	manner	collocation
SERIOUSNESS	frivolous	novel	manner	free
SERIOUSNESS	frivolous	remark	manner	free
SERIOUSNESS	serious	look	manner	collocation
SINCERITY	buttery	praise	manner	collocation
SINCERITY	genuine	emotion	manner	collocation
SINCERITY	honest	opinion	manner	collocation
SINCERITY	sincere	friendship	manner	free
SINCERITY	sincere	regret	manner	free
SOCIABILITY	sociable	conversation	manner	free
SOCIABILITY	sociable	occasion	manner	free
STRENGTH	vehement	defense	manner	free
SINCERITY	soapy	compliment	manner	collocation
SUCCESS	thriving	business	manner	free
SUCCESS	flourishing	business	manner	collocation
TASTE	garish	color	manner	free
TASTE	gaudy	costume	manner	free
TASTE	tawdry	ornament	manner	free
USUALNESS	peculiar	hobby	manner	free
USUALNESS	peculiar	insult	manner	free
VIRTUE	unchaste	conduct	manner	free
TASTE	flashy	ring	manner	collocation
VOLUME	soft	music	manner	collocation
WARINESS	wary	glance	manner	free
VOLUME	soft	voice	manner	collocation
CHANGEABLENESS	mobile	face	movement	collocation
NATURALNESS	natural	cliff	naturalness	free
NATURALNESS	natural	environment	naturalness	free
TAMENESS	tame	animal	naturalness	free
TAMENESS	tame	blueberry	naturalness	free
WILDNESS	wild	goose	naturalness	free
WILDNESS	wild	plant	naturalness	free
TAMENESS	domestic	animal	naturalness	collocation
CONSPICUOUSNESS	big	man	power	collocation
EFFECTIVENESS	effective	entrance	power	collocation
EFFICACY	effective	reprimand	power	collocation
EFFECTIVENESS	efficacious	law	power	collocation
POTENCY	impotent	rage	power	collocation
POWER	powerful	argument	power	collocation
POWER	powerful	government	power	collocation
CONSPICUOUSNESS	prominent	citizen	power	collocation
STRENGTH	virile	leadership	power	collocation
STATUS	dominant	partner	power	free
STATUS	dominant	role	power	free
STATUS	dominating	event	power	free
SUCCESS	foiled	attempt	power	free
EFFECTIVENESS	ineffective	legislation	power	free
EFFECTIVENESS	ineffective	teacher	power	free
POTENCY	ineffectual	ruler	power	free
ORDINARINESS	middling	performance	power	free
SUCCESS	successful	architect	power	free
POTENCY	unable	phoenix	power	free
EFFECTIVENESS	unproductive	management	power	free
POWER	weak	president	power	collocation
ACCURACY	unfaithful	reproduction	precision	collocation
PERFECTION	complete	gentleman	quality	collocation
PERFECTION	consummate	performance	quality	collocation
CONVENIENCE	convenient	excuse	quality	collocation
PROPRIETY	out-of-the-way	remark	quality	collocation
APPROPRIATENESS	right	man	quality	collocation
APPROPRIATENESS	appropriate	apology	quality	free
APPROPRIATENESS	appropriate	solemnity	quality	free
CORRECTNESS	correct	answer	quality	free
CORRECTNESS	correct	version	quality	free
CORRECTNESS	erroneous	conclusion	quality	free
CORRECTNESS	false	assumption	quality	free
TRUTH	false	tale	quality	free
TRUTH	false	testimony	quality	free
PERFECTION	faultless	logic	quality	free
PERFECTION	flawed	diamond	quality	free
PERFECTION	flawless	gemstone	quality	free
PERFECTION	immaculate	record	quality	free
PERFECTION	immaculate	technique	quality	free
PERFECTION	imperfect	mortal	quality	free
PERFECTION	imperfect	understanding	quality	free
PROPRIETY	improper	attire	quality	free
PROPRIETY	improper	medication	quality	free
APPROPRIATENESS	inappropriate	pressure	quality	free
APPROPRIATENESS	inappropriate	shoe	quality	free
CONVENIENCE	inconvenient	place	quality	free
CORRECTNESS	incorrect	calculation	quality	free
CORRECTNESS	mistaken	view	quality	free
PERFECTION	perfect	day	quality	free
PERFECTION	perfect	circle	quality	free
PERFECTION	perfect	manner	quality	free
PERFECTION	perfect	reproduction	quality	free
PERFECTION	perfect	specimen	quality	free
PERFECTION	perfect	happiness	quality	free
APPROPRIATENESS	proper	place	quality	free
PROPRIETY	proper	manner	quality	free
CORRECTNESS	right	answer	quality	free
CORRECTNESS	right	decision	quality	free
CORRECTNESS	right	road	quality	free
TRUTH	true	meaning	quality	free
TRUTH	true	story	quality	free
CORRECTNESS	wrong	assumption	quality	free
CORRECTNESS	wrong	information	quality	free
CORRECTNESS	wrong	paper	quality	free
CORRECTNESS	wrong	road	quality	free
CORRECTNESS	wrong	time	quality	free
PROPRIETY	wrong	medicine	quality	free
PROPRIETY	wrong	way	quality	free
RIGHTNESS	wrong	cheating	quality	free
RIGHTNESS	right	thing	quality	collocation
FIDELITY	true	believer	quality	collocation
NORMALITY	abnormal	amount	quantity	collocation
SIZE	big	group	quantity	collocation
QUANTITY	comfortable	salary	quantity	collocation
SUFFICIENCY	generous	portion	quantity	collocation
QUANTITY	inadequate	income	quantity	collocation
SIZE	large	family	quantity	collocation
SIZE	large	number	quantity	collocation
SIZE	large	sum	quantity	collocation
QUANTITY	low	supply	quantity	collocation
SUFFICIENCY	meager	fare	quantity	collocation
SUFFICIENCY	meager	resource	quantity	collocation
SUFFICIENCY	measly	tip	quantity	collocation
SIZE	microscopic	difference	quantity	collocation
SIZE	minuscule	amount	quantity	collocation
SUFFICIENCY	paltry	wage	quantity	collocation
QUANTITY	poor	salary	quantity	collocation
QUANTITY	short	money	quantity	collocation
QUANTITY	short	ration	quantity	collocation
QUANTITY	short	supply	quantity	collocation
QUANTITY	skimpy	allowance	quantity	collocation
SIZE	slender	wage	quantity	collocation
QUANTITY	abundant	supply	quantity	free
QUANTITY	ample	food	quantity	free
SUFFICIENCY	ample	food	quantity	free
SUFFICIENCY	ample	supply	quantity	free
QUANTITY	copious	provision	quantity	free
QUANTITY	enough	food	quantity	free
NUMEROUSNESS	few	pleasure	quantity	free
NUMEROUSNESS	few	rose	quantity	free
NUMEROUSNESS	few	week	quantity	free
NUMEROUSNESS	few	woman	quantity	free
GENEROSITY	generous	donation	quantity	free
QUANTITY	insufficient	fund	quantity	free
MAJORITY	major	portion	quantity	free
NUMEROUSNESS	many	apple	quantity	free
NUMEROUSNESS	many	cloud	quantity	free
NUMEROUSNESS	many	direction	quantity	free
NUMEROUSNESS	many	people	quantity	free
NUMEROUSNESS	many	temptation	quantity	free
MINORITY	minor	share	quantity	free
QUANTITY	plentiful	food	quantity	free
SUFFICIENCY	scanty	harvest	quantity	free
QUANTITY	scarce	vegetable	quantity	free
QUANTITY	sufficient	food	quantity	free
GENEROSITY	ungenerous	response	quantity	collocation
QUANTITY	voluminous	legislation	quantity	collocation
COMMONNESS	average	people	relation	collocation
ORDINARINESS	average	merit	relation	collocation
COMMONNESS	common	knowledge	relation	collocation
COMMONNESS	common	man	relation	collocation
IMMEDIACY	immediate	influence	relation	collocation
NATURALNESS	natural	development	relation	collocation
COMMONNESS	popular	thought	relation	collocation
USUALNESS	regular	bedtime	relation	collocation
MEASURE	standard	brand	relation	collocation
MEASURE	standard	fixture	relation	collocation
MEASURE	standard	size	relation	collocation
MEASURE	standard	width	relation	collocation
REGULARITY	standard	size	relation	collocation
COMMONNESS	uncommon	liking	relation	collocation
NORMALITY	abnormal	circumstance	relation	free
NORMALITY	abnormal	interest	relation	free
NORMALITY	atypical	family	relation	free
TYPICALITY	atypical	behavior	relation	free
TYPICALITY	atypical	moss	relation	free
HANDINESS	available	candidate	relation	free
HANDINESS	available	information	relation	free
COMMONNESS	common	brand	relation	free
COMMONNESS	common	nuisance	relation	free
COMMONNESS	common	procedure	relation	free
DIFFERENCE	contrary	conclusion	relation	free
NORMALITY	deviant	idea	relation	free
DIFFERENCE	different	approach	relation	free
DIFFERENCE	different	conclusion	relation	free
DIFFERENCE	different	meeting	relation	free
DIFFERENCE	different	part	relation	free
DIFFERENCE	different	side	relation	free
DIRECTNESS	direct	flight	relation	free
DIRECTNESS	direct	hit	relation	free
DIRECTNESS	direct	route	relation	free
IMMEDIACY	direct	contact	relation	free
IMMEDIACY	direct	exposure	relation	free
IMMEDIACY	direct	link	relation	free
IMMEDIACY	direct	sunlight	relation	free
SIMILARITY	dissimilar	people	relation	free
DIFFERENCE	divergent	opinion	relation	free
ORDINARINESS	everyday	scene	relation	free
ORDINARINESS	extraordinary	session	relation	free
FAMILIARITY	familiar	figure	relation	free
FAMILIARITY	familiar	guest	relation	free
FAMILIARITY	familiar	song	relation	free
ULTIMACY	final	answer	relation	free
FOREIGNNESS	foreign	accent	relation	free
FOREIGNNESS	foreign	city	relation	free
FOREIGNNESS	foreign	nation	relation	free
UNFAMILIARITY	foreign	accent	relation	free
UNFAMILIARITY	foreign	city	relation	free
UNFAMILIARITY	foreign	nation	relation	free
GENERALITY	general	assistance	relation	free
GENERALITY	general	public	relation	free
GENERALITY	general	reader	relation	free
GENERALITY	general	rule	relation	free
GENERALITY	general	term	relation	free
USUALNESS	habitual	comment	relation	free
DIRECTNESS	indirect	course	relation	free
DIRECTNESS	indirect	path	relation	free
IMMEDIACY	indirect	light	relation	free
INDIVIDUALITY	individual	drop	relation	free
INDIVIDUALITY	individual	page	relation	free
INDIVIDUALITY	individual	way	relation	free
NORMALITY	irregular	behavior	relation	free
DIVERSENESS	miscellaneous	crowd	relation	free
DIVERSENESS	multifaceted	undertaking	relation	free
DIVERSENESS	multifarious	interest	relation	free
DIVERSENESS	multifarious	noise	relation	free
DISTANCE	near	approach	relation	free
MEASURE	nonstandard	length	relation	free
MEASURE	nonstandard	size	relation	free
MEASURE	nonstandard	window	relation	free
NORMALITY	normal	course	relation	free
NORMALITY	normal	curiosity	relation	free
ORDINARINESS	ordinary	day	relation	free
ORDINARINESS	ordinary	decency	relation	free
ORDINARINESS	ordinary	wine	relation	free
OTHERNESS	other	book	relation	free
OTHERNESS	other	day	relation	free
OTHERNESS	other	direction	relation	free
OTHERNESS	other	ear	relation	free
OTHERNESS	other	employment	relation	free
OTHERNESS	other	house	relation	free
OTHERNESS	other	person	relation	free
OTHERNESS	other	sex	relation	free
OTHERNESS	other	side	relation	free
COMMONNESS	rare	word	relation	free
ORDINARINESS	routine	day	relation	free
ORDINARINESS	run-of-the-mill	boxing	relation	free
SAMENESS	same	age	relation	free
SAMENESS	same	color	relation	free
SAMENESS	same	day	relation	free
SAMENESS	same	dimension	relation	free
SAMENESS	same	rule	relation	free
SAMENESS	same	species	relation	free
SEPARATION	separate	church	relation	free
SEPARATION	separate	issue	relation	free
SEPARATION	separate	way	relation	free
SIMILARITY	similar	coat	relation	free
SIMILARITY	similar	food	relation	free
SIMILARITY	similar	price	relation	free
COMMONNESS	special	occasion	relation	free
COMMONNESS	special	reason	relation	free
ORDINARINESS	special	permission	relation	free
GENERALITY	specific	application	relation	free
TYPICALITY	typical	case	relation	free
COMMONNESS	uncommon	amount	relation	free
COMMONNESS	uncommon	bird	relation	free
COMMONNESS	uncommon	character	relation	free
USUALNESS	unique	ability	relation	free
USUALNESS	unique	accent	relation	free
USUALNESS	unusual	ability	relation	free
USUALNESS	unusual	meteorite	relation	free
USUALNESS	unusual	punishment	relation	free
USUALNESS	usual	bedtime	relation	free
USUALNESS	usual	time	relation	free
USUALNESS	usual	vegetable	relation	free
DIVERSENESS	varied	work	relation	free
DIVERSENESS	various	achievement	relation	free
DIVERSENESS	versatile	erudition	relation	free
SEX	female	heir	sex	free
SEX	male	infant	sex	free
SHAPE	crooked	tooth	shape	free
CURLINESS	curly	hair	shape	free
SOLIDITY	hollow	tree	shape	free
SOLIDITY	hollow	wall	shape	free
SHARPNESS	keen	blade	shape	free
EVENNESS	ragged	line	shape	free
SHARPNESS	sharp	knife	shape	free
SHARPNESS	sharp	point	shape	free
CURLINESS	straight	hair	shape	free
SHAPE	straight	line	shape	free
SHAPE	straight	road	shape	free
SHAPE	straight	shoulder	shape	free
SHAPE	straight	tooth	shape	free
SHAPE	twisty	track	shape	free
NATURALNESS	unnatural	interest	relation	collocation
SMELL	odorless	flower	smell	free
SMELL	odorless	gas	smell	free
SMELL	odorous	bread	smell	free
SMELL	odorous	garbage	smell	free
SMELL	scentless	stretch	smell	free
SMELL	scentless	wisp	smell	free
HANDINESS	untouchable	resource	relation	collocation
FRESHNESS	fresh	scent	smell	collocation
FORMALITY	common	parlance	social	collocation
FREEDOM	free	country	social	collocation
SENIORITY	lowly	corporal	social	collocation
SENIORITY	senior	officer	social	collocation
SOCIALITY	social	animal	social	collocation
RECOGNITION	acknowledged	accomplishment	social	free
RECOGNITION	acknowledged	error	social	free
RECOGNITION	acknowledged	leader	social	free
SOCIALITY	antisocial	deed	social	free
SOCIALITY	antisocial	individual	social	free
FORMALITY	colloquial	style	social	free
COMMONALITY	common	land	social	free
CONVENTIONALITY	conventional	behavior	social	free
CONVENTIONALITY	conventional	form	social	free
CONVENTIONALITY	conventional	wisdom	social	free
CONVENTIONALITY	customary	handshake	social	free
INDEPENDENCE	dependent	child	social	free
REPUTE	discredited	politician	social	free
FORMALITY	formal	ball	social	free
FORMALITY	formal	dress	social	free
FORMALITY	formal	education	social	free
FORMALITY	formal	requirement	social	free
FREEDOM	free	choice	social	free
FREEDOM	free	enterprise	social	free
FREEDOM	free	port	social	free
MIND	highbrow	event	social	free
CORRUPTNESS	incorrupt	policeman	social	free
INDEPENDENCE	independent	individualism	social	free
INDEPENDENCE	independent	judgment	social	free
INDEPENDENCE	independent	mind	social	free
REPUTE	notorious	district	social	free
ORTHODOXY	orthodox	view	social	free
POPULARITY	popular	girl	social	free
REPUTE	reputable	business	social	free
REPUTE	reputable	scientist	social	free
REPUTE	reputable	wine	social	free
REPUTE	respectable	company	social	free
HOLINESS	sacred	bread	social	free
HOLINESS	sacred	mosque	social	free
HOLINESS	sacred	name	social	free
SOCIALITY	solitary	disposition	social	free
SOCIALITY	solitary	walk	social	free
CONVENTIONALITY	unconventional	dress	social	free
POPULARITY	unpopular	idea	social	free
POPULARITY	unpopular	war	social	free
SOCIALITY	unsocial	disposition	social	free
SOCIALITY	social	behavior	social	collocation
SENIORITY	superior	officer	social	collocation
VOLUME	big	voice	sound	collocation
PITCH	deep	voice	sound	collocation
AUDIBILITY	audible	whisper	sound	free
AUDIBILITY	inaudible	conversation	sound	free
VOLUME	loud	child	sound	free
VOLUME	loud	thunder	sound	free
VOLUME	loud	trombone	sound	free
PITCH	treble	voice	sound	free
FULLNESS	empty	room	space	free
FULLNESS	full	auditorium	space	free
WIDTH	panoramic	view	space	free
SIZE	spacious	view	space	free
PITCH	shrill	gaiety	sound	collocation
VOLUME	small	voice	sound	collocation
SPEED	fast	film	speed	collocation
SPEED	fast	track	speed	collocation
SPEED	lazy	pace	speed	collocation
SPEED	lazy	river	speed	collocation
SPEED	meteoric	rise	speed	collocation
SPEED	slow	lane	speed	collocation
SPEED	smart	pace	speed	collocation
SPEED	fast	car	speed	free
SPEED	fast	pace	speed	free
SPEED	rapid	rise	speed	free
SPEED	slow	step	speed	free
SPEED	slow	walker	speed	free
SPEED	speedy	recovery	speed	collocation
SPEED	speedy	resolution	speed	collocation
CONSTANCY	constant	lover	stability	collocation
CHANGEABLENESS	frozen	price	stability	collocation
CONSTANCY	unfailing	loyalty	stability	collocation
CONSTANCY	unflagging	courtesy	stability	collocation
CHANGEABLENESS	changeable	behavior	stability	free
CHANGEABLENESS	changeable	mood	stability	free
CHANGEABLENESS	changeable	price	stability	free
CONSTANCY	inconstant	affection	stability	free
CONSTANCY	inconstant	lover	stability	free
CONSTANCY	inconstant	moon	stability	free
CONSTANCY	steadfast	ally	stability	free
CHANGEABLENESS	unchangeable	fact	stability	free
CHANGEABLENESS	unchangeable	part	stability	free
CHANGEABLENESS	unchangeable	season	stability	free
CONSTANCY	unswerving	allegiance	stability	collocation
CLEANNESS	clean	animal	state	free
CLEANNESS	clean	cat	state	free
CLEANNESS	clean	dish	state	free
CLEANNESS	clean	house	state	free
ANIMATION	dead	man	state	free
ANIMATION	dead	nerve	state	free
CLEANNESS	dirty	dish	state	free
CLEANNESS	dirty	foot	state	free
CLEANNESS	dirty	overall	state	free
CLEANNESS	dirty	slum	state	free
WETNESS	dry	paint	state	free
FULLNESS	empty	glass	state	free
FULLNESS	empty	seat	state	free
CLEANNESS	foul	pond	state	free
FULLNESS	full	glass	state	free
CLEANNESS	greasy	coverall	state	free
CLEANNESS	grimy	hand	state	free
ANIMATION	lifeless	body	state	free
CLEANNESS	muddy	boot	state	free
CLEANNESS	nasty	pigsty	state	free
CLEANNESS	oily	rag	state	free
CLEANNESS	snotty	nose	state	free
WETNESS	sodden	collar	state	free
INTEGRITY	unbroken	lens	state	free
CLEANNESS	unclean	shirt	state	free
WETNESS	wet	sidewalk	state	free
CONSTANCY	unswerving	devotion	stability	collocation
EVENNESS	even	application	surface	free
EVENNESS	even	floor	surface	free
OPACITY	opaque	window	surface	free
WETNESS	dry	land	state	collocation
OPACITY	milky	glass	surface	collocation
TASTE	bitter	quinine	taste	free
TASTE	nutty	sherry	taste	free
TASTE	peppery	salsa	taste	free
TASTE	tasty	morsel	taste	free
TEMPERATURE	cold	beer	temperature	free
TEMPERATURE	cold	climate	temperature	free
TEMPERATURE	cold	finger	temperature	free
TEMPERATURE	cold	room	temperature	free
TEMPERATURE	cool	breeze	temperature	free
TEMPERATURE	cool	drink	temperature	free
TEMPERATURE	cool	room	temperature	free
TEMPERATURE	hot	forehead	temperature	free
